VCD info: dumpfile waveforms/pll_full.vcd opened for output.

============================================
PLL STARTED
Reference clock = 10 MHz
TDC clock       = 200 MHz
Control clock   = 50 MHz
Divider         = 4
Initial VCO target approximately 40 MHz
Stable-lock requirement = 1000 ctrl cycles = 20.00 us
============================================

time=9510000 state=2 error=13 tuning=512 kp=0 ki=0 locked=0
time=9610000 state=2 error=15 tuning=512 kp=0 ki=0 locked=0
time=9710000 state=2 error=16 tuning=512 kp=0 ki=0 locked=0
time=9830000 state=2 error=17 tuning=512 kp=0 ki=0 locked=0
time=9930000 state=2 error=19 tuning=512 kp=0 ki=0 locked=0
time=10030000 state=2 error=20 tuning=512 kp=0 ki=0 locked=0
time=10150000 state=2 error=1 tuning=512 kp=0 ki=0 locked=0
time=10250000 state=2 error=3 tuning=512 kp=0 ki=0 locked=0
time=10350000 state=2 error=4 tuning=608 kp=0 ki=0 locked=0
time=10450000 state=2 error=4 tuning=608 kp=0 ki=0 locked=0
time=10550000 state=2 error=4 tuning=608 kp=0 ki=0 locked=0
time=10650000 state=2 error=4 tuning=608 kp=0 ki=0 locked=0
time=10750000 state=2 error=4 tuning=608 kp=0 ki=0 locked=0
time=10850000 state=2 error=4 tuning=608 kp=0 ki=0 locked=0
time=10950000 state=2 error=4 tuning=608 kp=0 ki=0 locked=0
time=11050000 state=2 error=4 tuning=608 kp=0 ki=0 locked=0
time=11170000 state=2 error=5 tuning=608 kp=0 ki=0 locked=0
time=11270000 state=2 error=5 tuning=608 kp=0 ki=0 locked=0
time=11370000 state=2 error=5 tuning=608 kp=0 ki=0 locked=0
time=11470000 state=2 error=5 tuning=608 kp=0 ki=0 locked=0
time=11570000 state=2 error=5 tuning=608 kp=0 ki=0 locked=0
time=11670000 state=2 error=5 tuning=608 kp=0 ki=0 locked=0
time=11770000 state=2 error=5 tuning=608 kp=0 ki=0 locked=0
time=11870000 state=2 error=5 tuning=608 kp=0 ki=0 locked=0
time=11970000 state=2 error=5 tuning=608 kp=0 ki=0 locked=0
time=12070000 state=2 error=5 tuning=608 kp=0 ki=0 locked=0
time=12170000 state=2 error=5 tuning=608 kp=0 ki=0 locked=0
time=12270000 state=2 error=5 tuning=608 kp=0 ki=0 locked=0
time=12370000 state=2 error=5 tuning=608 kp=0 ki=0 locked=0
time=12470000 state=2 error=5 tuning=608 kp=0 ki=0 locked=0
time=12570000 state=2 error=6 tuning=608 kp=0 ki=0 locked=0
time=12670000 state=2 error=6 tuning=608 kp=0 ki=0 locked=0
time=12770000 state=2 error=6 tuning=608 kp=0 ki=0 locked=0
time=12870000 state=2 error=6 tuning=608 kp=0 ki=0 locked=0
time=12970000 state=2 error=6 tuning=608 kp=0 ki=0 locked=0
time=13070000 state=2 error=6 tuning=608 kp=0 ki=0 locked=0
time=13170000 state=2 error=6 tuning=608 kp=0 ki=0 locked=0
time=13270000 state=2 error=6 tuning=608 kp=0 ki=0 locked=0
time=13370000 state=2 error=6 tuning=608 kp=0 ki=0 locked=0
time=13470000 state=2 error=6 tuning=608 kp=0 ki=0 locked=0
time=13570000 state=2 error=6 tuning=608 kp=0 ki=0 locked=0
time=13670000 state=2 error=6 tuning=608 kp=0 ki=0 locked=0
time=13770000 state=2 error=6 tuning=608 kp=0 ki=0 locked=0
time=13870000 state=2 error=6 tuning=608 kp=0 ki=0 locked=0
time=13970000 state=2 error=7 tuning=608 kp=0 ki=0 locked=0
time=14070000 state=2 error=7 tuning=608 kp=0 ki=0 locked=0
time=14170000 state=2 error=7 tuning=608 kp=0 ki=0 locked=0
time=14270000 state=2 error=7 tuning=608 kp=0 ki=0 locked=0
time=14370000 state=2 error=7 tuning=608 kp=0 ki=0 locked=0
time=14470000 state=2 error=7 tuning=608 kp=0 ki=0 locked=0
time=14570000 state=2 error=7 tuning=608 kp=0 ki=0 locked=0
time=14670000 state=2 error=7 tuning=608 kp=0 ki=0 locked=0
time=14770000 state=2 error=7 tuning=608 kp=0 ki=0 locked=0
time=14870000 state=2 error=7 tuning=608 kp=0 ki=0 locked=0
time=14970000 state=2 error=7 tuning=608 kp=0 ki=0 locked=0
time=15070000 state=2 error=7 tuning=608 kp=0 ki=0 locked=0
time=15170000 state=2 error=7 tuning=608 kp=0 ki=0 locked=0
time=15270000 state=2 error=7 tuning=608 kp=0 ki=0 locked=0
time=15370000 state=2 error=8 tuning=608 kp=0 ki=0 locked=0
time=15470000 state=2 error=8 tuning=608 kp=0 ki=0 locked=0
time=15570000 state=2 error=8 tuning=608 kp=0 ki=0 locked=0
time=15670000 state=2 error=8 tuning=608 kp=0 ki=0 locked=0
time=15770000 state=2 error=8 tuning=608 kp=0 ki=0 locked=0
time=15870000 state=2 error=8 tuning=608 kp=0 ki=0 locked=0
time=15970000 state=2 error=8 tuning=608 kp=0 ki=0 locked=0
time=16070000 state=2 error=8 tuning=608 kp=0 ki=0 locked=0
time=16170000 state=2 error=8 tuning=608 kp=0 ki=0 locked=0
time=16270000 state=2 error=8 tuning=608 kp=0 ki=0 locked=0
time=16370000 state=2 error=8 tuning=608 kp=0 ki=0 locked=0
time=16470000 state=2 error=8 tuning=608 kp=0 ki=0 locked=0
time=16570000 state=2 error=8 tuning=608 kp=0 ki=0 locked=0
time=16670000 state=2 error=8 tuning=608 kp=0 ki=0 locked=0
time=16790000 state=2 error=9 tuning=608 kp=0 ki=0 locked=0
time=16890000 state=2 error=9 tuning=608 kp=0 ki=0 locked=0
time=16990000 state=2 error=9 tuning=608 kp=0 ki=0 locked=0
time=17090000 state=2 error=9 tuning=608 kp=0 ki=0 locked=0
time=17190000 state=2 error=9 tuning=608 kp=0 ki=0 locked=0
time=17290000 state=2 error=9 tuning=608 kp=0 ki=0 locked=0
time=17390000 state=2 error=9 tuning=608 kp=0 ki=0 locked=0
time=17490000 state=2 error=9 tuning=608 kp=0 ki=0 locked=0
time=17590000 state=2 error=9 tuning=608 kp=0 ki=0 locked=0
time=17690000 state=2 error=9 tuning=608 kp=0 ki=0 locked=0
time=17790000 state=2 error=9 tuning=608 kp=0 ki=0 locked=0
time=17890000 state=2 error=9 tuning=608 kp=0 ki=0 locked=0
time=17990000 state=2 error=9 tuning=608 kp=0 ki=0 locked=0
time=18090000 state=2 error=9 tuning=608 kp=0 ki=0 locked=0
time=18190000 state=2 error=9 tuning=608 kp=0 ki=0 locked=0
time=18290000 state=2 error=10 tuning=608 kp=0 ki=0 locked=0
time=18390000 state=2 error=10 tuning=608 kp=0 ki=0 locked=0
time=18490000 state=2 error=10 tuning=608 kp=0 ki=0 locked=0
time=18590000 state=2 error=10 tuning=608 kp=0 ki=0 locked=0
time=18690000 state=2 error=10 tuning=608 kp=0 ki=0 locked=0
time=18790000 state=2 error=10 tuning=608 kp=0 ki=0 locked=0
time=18890000 state=2 error=10 tuning=608 kp=0 ki=0 locked=0
time=18990000 state=2 error=10 tuning=608 kp=0 ki=0 locked=0
time=19090000 state=2 error=10 tuning=608 kp=0 ki=0 locked=0
time=19190000 state=2 error=10 tuning=608 kp=0 ki=0 locked=0
time=19290000 state=2 error=10 tuning=608 kp=0 ki=0 locked=0
time=19390000 state=2 error=10 tuning=608 kp=0 ki=0 locked=0
time=19490000 state=2 error=10 tuning=608 kp=0 ki=0 locked=0
time=19590000 state=2 error=10 tuning=608 kp=0 ki=0 locked=0
time=19690000 state=2 error=11 tuning=608 kp=0 ki=0 locked=0
time=19790000 state=2 error=11 tuning=608 kp=0 ki=0 locked=0
time=19890000 state=2 error=11 tuning=608 kp=0 ki=0 locked=0
time=19990000 state=2 error=11 tuning=608 kp=0 ki=0 locked=0
